"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","LMA_imputed","SWC_imputed","ApoFrac","SWA","LWAtlp","water_loss.m2","CFT.g.m2","water_loss.g","n_vals","nDatasets","Dataset","T.S.L.H","Family","Genus","Species_name","Gymno.Angio"
"317","Solanum pimpinellifolium","Crop","H","E",1,90.7,-0.92,24.81,8.41,0,0,NA,208.6521,189.2474547,19.4046453,19.4046453,-754.377,1,1,"Contributed","H","Solanaceae","Solanum","pimpinellifolium","Angiosperm"
"318","Sphaeradenia praetermissa","TropicalMoist","W",NA,1.11772107633333,87.17656558,-0.959894304333333,NA,NA,1,1,NA,NA,NA,NA,22.6206388741139,NA,3,1,"Contributed","L",NA,"Sphaeradenia","praetermissa","Angiosperm"
"319","Sphaeralcea coccinia","Grassland","H","A",1.954,85.344,-1.464,109.5418791,2.149,0,0,NA,235.4054981859,200.904468371774,34.5010298141255,17.6566171003713,-181.255256,1,1,"Contributed","H",NA,"Sphaeralcea","coccinia","Angiosperm"
"320","Spharalcea coccinea","Grassland","H","A",1.54688474,76.93846446,-1.022097293,99.32841513,2.458205336,0,0,NA,244.169640088989,187.860371761977,56.3092683270123,36.4017220358721,-186.672338543218,1,1,"Contributed","H",NA,"Spharalcea","coccinea","Angiosperm"
"321","Sphyrospermum buxifolium","TropicalMoist","W",NA,1.0973652055,94.806376615,-0.9913361655,NA,NA,1,1,NA,NA,NA,NA,33.224747021727,NA,2,1,"Contributed","S","Ericaceae","Sphyrospermum","buxifolium","Angiosperm"
"322","Sphyrospermum cordifolium","TropicalMoist","W",NA,1.004479536,96.86178885,-0.920550175,NA,NA,1,1,NA,NA,NA,NA,13.5954926698962,NA,1,1,"Contributed","S","Ericaceae","Sphyrospermum","cordifolium","Angiosperm"
"323","Spinacia oleracea","Crop","H","H",1.098834,94.58099,-0.882754,66.416109,6.818553,0,0,0.692749,452.861759270277,428.321135249245,24.5406240210322,22.3333315323627,-638.08694010747,1,1,"Contributed","H","Amaranthaceae","Spinacia","oleracea","Angiosperm"
"324","Spondias mombin","TropicalDry","W","DD",1.5405,87.82,-1.1645,54.7175979976607,1.074,1,0,NA,58.7667002494876,51.6089161591,7.15778409038759,22.1955906094,-93.24468,1,1,"Contributed","T","Anacardiaceae","Spondias","mombin","Angiosperm"
"325","Stenospermation sessile","TropicalMoist","W",NA,0.386993271,95.806977045,-0.312417278,NA,NA,1,1,NA,NA,NA,NA,51.0399528980801,NA,2,1,"Contributed","S",NA,"Stenospermation","sessile","Angiosperm"
"326","Sumbaviopsis albicans","TropicalDry","W","E",2.2643203335,66.936,-1.4723049525,61.80216755,2.032752821,0,0,NA,124.800017765164,98.6521106754329,48.7306290691483,22.4472632330958,-162.313837417888,2,1,"Contributed","T","Euphorbiaceae","Sumbaviopsis","albicans","Angiosperm"
"327","Sweitenia macrophyllum","TropicalDry","W","DD",1.84366666666667,88.8613333333333,-1.36333333333333,NA,1.29633333333333,1,0,NA,NA,NA,NA,10.7851476266667,-114.146047666667,3,1,"Contributed","T",NA,"Sweitenia","macrophyllum","Angiosperm"
"328","Swietenia macrophylla","TropicalDry","W","CD",2.15316666666667,85.53315,-1.8065,41.0961227813979,1.33925,1,0,NA,55.0379824349871,47.0065974332774,8.03138500170974,3.75146587955395,-113.042823665,6,1,"Contributed","T","Meliaceae","Swietenia","macrophylla","Angiosperm"
"329","Swietenia mahagoni","TropicalDry","W","DD",1.7695,75.6575,-1.315,95.9462278423977,2.21225,1,0,NA,212.257042544344,160.588371962987,51.668670581357,10.7222893122,-165.161054375,1,1,"Contributed","T","Meliaceae","Swietenia","mahagoni","Angiosperm"
"330","Syringa vulgaris","Temperate","W","CD",2.369579,87.5210155,-1.8546685,85.687839,2.630128,0,0,0.4062425,220.571584392652,193.054657964762,27.5169264278904,11.8952018012734,-227.671458549866,2,1,"Contributed","T","Oleaceae","Syringa","vulgaris","Angiosperm"
"331","Syzygium latilimbum","TropicalDry","W","E",1.2772016665,79.63449999,-0.9264348835,129.312337,1.736865276,0,0,0.26196765,223.389729550223,198.615720355942,50.7934181215807,42.8134240187297,-157.253705491117,2,1,"Contributed","T","Myrtaceae","Syzygium","latilimbum","Angiosperm"
"332","Tabebuia Impetiginosa","TropicalDry","W","DD",2.105,89.072,-1.78066666666667,NA,1.55133333333333,1,0,NA,NA,NA,NA,5.42259928,-136.395468666667,3,1,"Contributed","T","Bignoniaceae","Tabebuia","Impetiginosa","Angiosperm"
"333","Tabebuia heterophylla","TropicalDry","W","DD",1.875,80.715,-1.55225,94.5922210100588,4.38475,1,0,NA,414.763241073855,334.776150032762,79.9870910410929,22.73254503744,-349.53034625,1,1,"Contributed","T","Bignoniaceae","Tabebuia","heterophylla","Angiosperm"
"334","Tabebuia ochraceae","TropicalDry","W","DD",2.12733333333333,86.6386666666667,-1.80633333333333,NA,1.11833333333333,1,0,NA,NA,NA,NA,8.92356869333333,-95.708346,3,1,"Contributed","T",NA,"Tabebuia","ochraceae","Angiosperm"
"335","Tabebuia roseoalba","TropicalDry","W","DD",1.960298708,85.0776,-1.714065432,65.73277363,2.237931557,0,0,NA,147.105448435714,125.153784998343,21.951663437371,11.1981216677775,-188.159914276823,1,1,"Contributed","T","Bignoniaceae","Tabebuia","roseoalba","Angiosperm"
"336","Tabernaemontana corymbosa","TropicalDry","W","E",1.463,NA,-0.921191684,41.93845527,3.445352918,0,0,NA,144.492779240907,NA,NA,NA,NA,1,1,"Contributed","T","Apocynaceae","Tabernaemontana","corymbosa","Angiosperm"
"337","Terminalia amazonia","TropicalDry","W","E",1.76466666666667,84.02805,-1.4215,68.1289126711232,1.52930833333333,1,0,NA,104.190113888888,87.3238552987863,16.8662585901014,9.64760058361712,-126.645136076667,12,1,"Contributed","T","Combretaceae","Terminalia","amazonia","Angiosperm"
"338","Tetracera volubilis","TropicalDry","W","DD",1.29,87.145,-0.883333333333333,51.77072526,3.15666666666667,0,0,NA,161.430103206,103.662269262557,15.1305916219434,12.2751099524655,-199.47725,3,1,"Contributed","L","Dilleniaceae","Tetracera","volubilis","Angiosperm"
"339","Thouinia portoricensis","TropicalDry","W","DD",2.7696,86.646,-1.9892,NA,4.4454,1,0,NA,NA,NA,NA,18.484823051808,-380.7307284,1,1,"Contributed","T","Sapindaceae","Thouinia","portoricensis","Angiosperm"
"340","Thuja plicata","TemperateConifer","W","E",1.92,84.25,-1.47,76.7066422151928,2.68324125230203,1,1,NA,205.822426717378,173.405394509391,32.417032207987,16.8535107010966,-223.379834254144,2,1,"mb14",NA,"Cupressaceae","Thuja","plicata","Gymnosperm"
"341","Trichilia carinata","TropicalDry","W","E",1.7948,95.92,-1.2084,NA,2.7782,1,0,NA,NA,NA,NA,16.494361604336,-263.706744,1,1,"Contributed","T",NA,"Trichilia","carinata","Angiosperm"
"342","Trichilia oligofoliolata","TropicalDry","W","E",1.9266,88.326,-1.425,NA,1.9304,1,0,NA,NA,NA,NA,19.478448614096,-168.5741104,1,1,"Contributed","T",NA,"Trichilia","oligofoliolata","Angiosperm"
"343","Trichilia pallida","TropicalDry","W","E",2.445666667,89.18166667,-2.057166667,59.1483883907562,1.042833333,1,0,NA,61.6819110071108,55.0089562700476,6.67295473706321,10.15628524516,-91.9587813629711,1,1,"Contributed","T","Meliaceae","Trichilia","pallida","Angiosperm"
"344","Trigonia rugosa","TropicalDry","W","DD",2.04,91.195,-1.59,73.80187337,1.96,0,0,NA,141.4449380477,128.689981174582,12.7549568731177,5.9871956725522,-177.90595,2,1,"Contributed","L","Trigoniaceae","Trigonia","rugosa","Angiosperm"
"345","Trigonostemon thyrsoideum","TropicalDry","W","E",1.2895989835,79.475,-0.9344496865,52.760547685,2.9999030245,0,0,NA,159.253307320822,106.187318083789,27.4236515088992,23.0914369953361,-211.6957367197,2,1,"Contributed","T","Euphorbiaceae","Trigonostemon","thyrsoideum","Angiosperm"
"346","Triplaris melaenodendron","TropicalDry","W","DD",1.4858,88.156,-1.0546,84.2835498336822,1.1802,1,0,NA,99.4714455137117,87.6900475070677,11.781398006644,14.7312746088,-102.8615112,1,1,"Contributed","T","Polygonaceae","Triplaris","melaenodendron","Angiosperm"
"347","Triticum aestivum","Crop","H","H",1.4955278,89.5474056,-1.2658168,45.922831890897,2.87304872874575,1,1,0.490189,127.465825286242,114.224325315755,13.2414999704874,9.07181904161448,-254.279185438811,5,2,"Contributed","H","Poaceae","Triticum","aestivum","Angiosperm"
"348","Tsuga heterophylla","TemperateConifer","W","E",2.093255,91.2085,-1.8655,95.6105,1.5265,0,0,0.1845,139.7762,127.59267494555,12.18352505445,5.78298657646986,-137.6289615,2,1,"Contributed","T","Pinaceae","Tsuga","heterophylla","Gymnosperm"
"349","Urophyllum chinense","TropicalDry","W","E",1.201613333,NA,-0.774741555,37.13166367,3.502326273,0,0,NA,130.047201231641,NA,NA,NA,NA,1,1,"Contributed","T","Rubiaceae","Urophyllum","chinense","Angiosperm"
"350","Vaccinium ovatum","TemperateConifer","W","E",2.40423,93.9225,-2.173,133.7495,1.3565,0,0,0.3585,178.779682,167.6650138941,11.1146681059,4.52682111384683,-126.172795,2,1,"Contributed","S","Ericaceae","Vaccinium","ovatum","Angiosperm"
"351","Vaccinium parvifolium","TemperateConifer","W","DD",1.8818965,88.7015,-1.611,33.4905,1.9045,0,0,0.2295,62.438961,55.38259691367,7.05636408633,3.8922332163759,-166.7956615,2,1,"Contributed","S","Ericaceae","Vaccinium","parvifolium","Angiosperm"
"352","Vigna unguiculata","Crop","H","A",0.8513,88.77675,-0.78855,64.0934,5.1916,0,0,NA,329.72590688,293.837682121173,35.8882247588272,42.1103069324158,-455.1138746,2,1,"Contributed","H","Fabaceae","Vigna","unguiculata","Angiosperm"
"353","Vitis vinifera","Crop","W","CD",1.48989225,91.335824,-1.167609625,57.9347143617286,3.436804441833,1,1,0.624440833333333,184.631771550174,168.341545669219,16.2902258809557,10.752934141499,-308.73848357161,8,2,"Contributed","L","Vitaceae","Vitis","vinifera","Angiosperm"
"354","Walsura robusta","TropicalDry","W","E",2.155986667,NA,-1.309448174,68.43914376,1.606343461,0,0,NA,109.936771055315,NA,NA,NA,NA,1,1,"Contributed","T","Meliaceae","Walsura","robusta","Angiosperm"
"355","Woodfordia fruticosa","TropicalDry","W","E",2.17,76,-1.7,49.3,1.28792936362658,0,1,NA,63.4949176267904,48.2561373963607,15.2387802304297,7.02247936886161,-96.5947022719935,1,1,"mb12",NA,"Lythraceae","Woodfordia","fruticosa","Angiosperm"
"356","Xanthostemon paradoxus","Med/TempDry","W","CD",1.73,85.5,-1.445,127.002123716698,1.53087973965956,1,1,NA,194.42497809163,166.233356268344,28.1916218232864,16.3694483108939,-129.359338001233,2,1,"mb14",NA,NA,"Xanthostemon","paradoxus","Angiosperm"
"357","Xerophyta viscosa","Med/TempDry","H","E",1.112227,90.519667,-0.677581,86.97372,2.897793,0,0,0.755046,252.03183699996,228.138379586347,23.8934574136134,21.4825367605834,-259.409464394931,1,1,"Contributed","H","Velloziaceae","Xerophyta","viscosa","Angiosperm"
"358","Zea mays","Crop","H","H",1.44916666666667,75.6666666666667,-1.03833333333333,43.2340322213655,3.71184691062624,1,1,NA,160.478108934791,121.428435760658,39.0496731741324,28.753723581909,-277.151235993426,12,1,"mb14",NA,"Poaceae","Zea","mays","Angiosperm"
