Contributor,Species,Treatment,Co-author?,Biomes,Growth_form,Tree/Shrub/Liana,Evergreen_Deciduous,Wild/Garden/Potted,Life Stage,πtlp (MPa),πtlp SD,πtlp SE,total RWCtlp (%),tot RWCtlp SD,tot RWCtlp SE,LMA (g/m2),SWC,CFT* (mol m-2 MPa-1),πo (MPa),ε (MPa),af,RWCtlp (%),Ψpd (MPa),Ψmin (MPa),Latitude,Longitude,Elevation (m),Site Name,Rehydrated?,Month Collected,Year Collected,Other Env Notes,Methods notes,Reference,Other Notes,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Dalberigia retusa,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.292,,,84.637,,,,1.549,0.889,-1.853,14.021,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Enterolobium cyclocarpum,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.093,,,90.96,,,,1.296,0.364,-1.8,20.951,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Enterolobium cyclocarpum,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-1.481,,,87.455,,,,2.72,0.723,-1.152,10.889,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Enterolobium cyclocarpum,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-1.897,,,89.933,,,,1.781,0.418,-1.619,18.01,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Genipa americana,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.229,,,88.724,,,,1.537,0.708,-1.565,13.152,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Genipa americana,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.148,,,86.095,,,,1.668,0.569,-1.471,10.081,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Genipa americana,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-1.69,,,86.97,,,,2.192,0.69,-0.956,5.826,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Gliricidia sepium,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-1.628,,,92.218,,,,2.494,0.503,-1.348,16.949,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Gliricidia sepium,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-1.817,,,89.16,,,,2.738,0.759,-1.541,15.093,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Gliricidia sepium,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.65,,,57.919,,,,3.677,1.755,-2.112,5.532,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Guazuma ulmifolia,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.189,,,79.338,,,,1.325,0.97,-1.495,7.933,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Guazuma ulmifolia,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.377,,,81.914,,,,1.412,0.682,-1.637,9.916,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Guazuma ulmifolia,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.128,,,72.221,,,,1.699,1.484,-1.279,4.735,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Hymenea courbaril,NA,Y,TropicalDry,W,T,E,Wild,Ad,-2.107,,,83.73,,,,1.186,0.601,-1.479,11.745,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Hymenea courbaril,NA,Y,TropicalDry,W,T,E,Wild,Ad,-1.996,,,91.109,,,,1.192,0.318,-1.646,21.346,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Hymenea courbaril,NA,Y,TropicalDry,W,T,E,Wild,Ad,-2.389,,,85.655,,,,1.094,0.422,-1.667,14.767,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Manilkara chicle,NA,Y,TropicalDry,W,T,E,Wild,Ad,-2.098,,,86.947,,,,1.272,0.586,-1.372,9.578,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Manilkara chicle,NA,Y,TropicalDry,W,T,E,Wild,Ad,-2.294,,,86.878,,,,1.379,0.514,-1.416,10.411,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Manilkara chicle,NA,Y,TropicalDry,W,T,E,Wild,Ad,-2.033,,,87.731,,,,1.274,0.562,-1.292,10.347,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Quercus oleoides,NA,Y,TropicalDry,W,T,E,Wild,Ad,-2.5,,,93.227,,,,0.786,0.284,-1.916,26.016,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Quercus oleoides,NA,Y,TropicalDry,W,T,E,Wild,Ad,-2.206,,,92.54,,,,0.902,0.35,-1.607,23.359,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Quercus oleoides,NA,Y,TropicalDry,W,T,E,Wild,Ad,-1.969,,,92.987,,,,0.922,0.432,-1.444,18.811,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Rehdera trinervis,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-1.956,,,90.293,,,,1.303,0.713,-1.229,9.948,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Rehdera trinervis,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.487,,,90.872,,,,1.257,0.371,-1.994,26.59,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Rehdera trinervis,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.529,,,92.941,,,,1.016,0.337,-2.017,28.25,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Sapium glandulosum,NA,Y,TropicalDry,W,T,E,Wild,Ad,-1.688,,,76.356,,,,3.24,2.038,-1.146,4.816,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Sapium glandulosum,NA,Y,TropicalDry,W,T,E,Wild,Ad,-1.458,,,93.339,,,,2.896,0.555,-1.235,18.691,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Sapium glandulosum,NA,Y,TropicalDry,W,T,E,Wild,Ad,-1.379,,,85.258,,,,3.423,1.117,-0.924,6.848,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Simarouba glauca,NA,Y,TropicalDry,W,T,E,Wild,Ad,-1.724,,,88.321,,,,1.56,0.887,-1.174,10.979,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Simarouba glauca,NA,Y,TropicalDry,W,T,E,Wild,Ad,-2.215,,,82.559,,,,1.414,0.956,-1.624,10.372,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Simarouba glauca,NA,Y,TropicalDry,W,T,E,Wild,Ad,-1.722,,,88.065,,,,1.531,0.905,-1.259,11.127,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Sweitenia macrophyllum,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-1.358,,,89.54,,,,1.362,0.673,-0.964,9.141,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Sweitenia macrophyllum,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-1.727,,,92.685,,,,1.345,0.49,-1.233,14.767,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Sweitenia macrophyllum,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.446,,,84.359,,,,1.182,0.633,-1.893,14.103,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Tabebuia ochraceae,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.18,,,85.33,,,,1.145,0.605,-1.843,14.336,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Tabebuia ochraceae,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.288,,,88.786,,,,1.058,0.488,-1.901,17.757,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Tabebuia ochraceae,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-1.914,,,85.8,,,,1.152,0.393,-1.675,13.615,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Tabebuia Impetiginosa,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-1.994,,,86.113,,,,1.709,0.361,-1.661,13.988,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Tabebuia Impetiginosa,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.244,,,89.673,,,,1.473,0.316,-1.888,19.058,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Erick Calderon-Morales & Jennifer Powers ,Tabebuia Impetiginosa,NA,Y,TropicalDry,W,T,DD,Wild,Ad,-2.077,,,91.43,,,,1.472,0.226,-1.793,23.34,,,,,10.712993,-85.595375,,Horizontes Forestry Experimental Station,Y,September-November,2016,wet season,Values obtained using Lauren Sack's spreadsheet,https://doi.org/10.1111/gcb.15037,Raw data are provided,,,,,,,,,,,,,
Miquel Nadal,Avena sativa,,Y,Crop,H,,,Potted,Ad,-1.451671,0.198517,0.140373,90.512986,0.524718,0.371032,67.968646,3.121787,0.855538,-1.186409,11.835046,0.416858,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,June,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Triticum aestivum,,Y,Crop,H,,,Potted,Ad,-1.347639,0.134379,0.067189,90.337028,2.393342,1.196671,74.913038,2.255915,0.73288,-1.059084,12.999839,0.490189,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,June,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Centella asiatica,,Y,TropicalDry,H,,,Potted,Ad,-1.073293,0.285925,0.116728,96.453595,0.736888,0.300833,35.260597,7.175554,0.439664,-0.804257,23.412271,0.838486,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,October,2016,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Flaveria robusta,,Y,TropicalDry,H,,,Potted,Ad,-0.703607,0.099749,0.040722,95.103263,1.194477,0.487643,55.400525,7.003443,1.432793,-0.507782,11.938688,0.80639,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,April,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Helianthus annus,,Y,Crop,H,,,Potted,Ad,-0.931411,0.072359,0.02954,91.806195,1.571489,0.641558,57.485243,5.282183,1.748874,-0.737496,9.839262,0.59945,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,May,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Phaseolus vulgaris,,Y,Crop,H,,,Potted,Ad,-0.70178,0.156949,0.064074,92.621285,2.210019,0.902237,13.24858,9.954142,0.763834,-0.488467,6.750407,0.692063,,,,,,,,yes,,,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (in prep.),,,,,,,,,,,,,,
Miquel Nadal,Solanum lycopersicum,,Y,Crop,H,,,Potted,Ad,-0.643093,0.156962,0.064079,90.826677,2.038663,0.832281,51.586939,5.683957,2.842649,-0.472216,5.244189,0.629388,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,May,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Spinacia oleracea,,Y,Crop,H,,,Potted,Ad,-1.098834,0.073421,0.032835,94.58099,0.231088,0.103346,66.416109,6.818553,1.298013,-0.882754,16.469088,0.692749,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,May,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Populus nigra,,Y,Temperate,W,T,CD,Potted,Sa,-1.817537,0.322258,0.131561,92.700656,1.185892,0.484138,105.17935,1.58982,0.374422,-1.199541,16.032418,0.779873,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,September,2016,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Syringa vulgaris,,Y,Temperate,W,T,CD,Potted,Sa,-1.994398,0.374756,0.187378,87.795237,1.711302,0.855651,73.738084,3.031676,0.788486,-1.577013,15.115406,0.399489,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,June,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Vitis vinifera,,Y,Crop,W,L,CD,Garden,Ad,-1.277039,0.125937,0.056321,91.070033,2.991579,1.337875,63.71761,2.562644,0.730517,-0.992325,11.934701,0.58243,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,June,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Limonium perezii,,Y,Coastal,W,S,E,Potted,Ad,-1.589941,0.355318,0.145058,92.19912,1.681221,0.686356,159.898534,3.57509,1.488969,-1.205241,16.991027,0.635026,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,May,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Olea europaea,,Y,Med/TempDry,W,T,E,Garden,Ad,-2.385385,0.624721,0.279384,86.57238,2.81782,1.260168,194.117827,1.053126,0.712884,-1.794332,12.935449,0.437875,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,April,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Quercus ilex,,Y,Med/TempDry,W,T,E,Garden,Ad,-2.674387,0.370173,0.165546,87.938396,1.285268,0.57479,179.861298,0.821992,0.365814,-2.065925,18.268087,0.458224,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,April,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Barbacenia purpurea,,Y,TropicalMoist,H,,E,Potted,Ad,-0.861849,0.110785,0.045228,94.702832,0.662869,0.270615,92.288362,1.882977,0.704033,-0.658569,11.754879,0.758193,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,June,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Xerophyta viscosa,,Y,Med/TempDry,H,,E,Potted,Ad,-1.112227,0.273912,0.158143,90.519667,0.690862,0.39887,86.97372,2.897793,1.465851,-0.677581,6.309146,0.755046,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,June,2017,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Davallia canariensis,,Y,TropicalDry,F,,E,Potted,Ad,-1.672044,0.101581,0.04147,94.431591,0.806622,0.329302,78.133931,2.360804,0.356203,-1.311468,23.874365,0.712302,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,September,2016,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Marsilea quadrifolia,,Y,Temperate,F,,E,Potted,Ad,-1.855211,0.130146,0.058203,92.446177,1.22436,0.547551,41.438786,2.108919,0.274507,-1.564098,21.776479,0.509427,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,October,2016,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Nephrolepis exaltata,,Y,Temperate,F,,E,Potted,Ad,-1.33273,0.313979,0.128181,94.268299,2.017499,0.82364,32.793527,3.445797,0.416946,-0.999185,17.750684,0.764595,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,September,2016,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Osmunda regalis,,Y,Temperate,F,,E,Potted,Ad,-1.538573,0.015378,0.008879,92.489472,1.032992,0.596398,56.438505,2.082131,0.330171,-1.367179,20.655358,0.263237,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,October,2016,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
Miquel Nadal,Phlebodium aureum,,Y,TropicalDry,F,,E,Potted,Ad,-1.672347,0.259416,0.129708,93.094701,0.816397,0.408198,69.341787,2.467942,0.45865,-1.469701,23.694715,0.361574,,,,39.6373713,2.64822421,180,"Universitat de les Illes Balears (Mallorca, Spain)",yes,September,2016,,modulus of elasticity from total RWC; using Sack & Pasquet-Kok Excel,Nadal et al (2018). Possible link between photosynthesis and leaf modulus of elasticity among vascular plants: a new player in leaf traits relationships? Ecology Letters 21 (9): 1372-1379,,,,,,,,,,,,,,
